win_team,lose_team,probability
New Orleans Pelicans,New York Knicks,0.7515260942457994
Oklahoma City Thunder,Charlotte Hornets,0.7466534380903596
Cleveland Cavaliers,Philadelphia 76ers,0.547836858078537
Toronto Raptors,Washington Wizards,0.8010790080056616
Houston Rockets,Cleveland Cavaliers,0.6496730034462123
Boston Celtics,Dallas Mavericks,0.8886005526554952
Golden State Warriors,Sacramento Kings,0.9087520205841381
San Antonio Spurs,Milwaukee Bucks,0.5810715390399765
Minnesota Timberwolves,Chicago Bulls,0.8879783798890193
Oklahoma City Thunder,Denver Nuggets,0.6387177466083201
Washington Wizards,New Orleans Pelicans,0.5183330745074721
Atlanta Hawks,Charlotte Hornets,0.5100279241652327
Philadelphia 76ers,Brooklyn Nets,0.8024545632132489
Detroit Pistons,Phoenix Suns,0.7052339937363308
Los Angeles Lakers,Orlando Magic,0.5826143986762159
New York Knicks,Memphis Grizzlies,0.6549215971472104
Portland Trail Blazers,Los Angeles Clippers,0.7397738570821814
Utah Jazz,Sacramento Kings,0.8235180434612129
Toronto Raptors,Miami Heat,0.7340153510010029
San Antonio Spurs,Chicago Bulls,0.7507353238892592
Charlotte Hornets,Milwaukee Bucks,0.5748423482667364
Cleveland Cavaliers,Minnesota Timberwolves,0.6081204398994576
Golden State Warriors,Orlando Magic,0.8836422416848535
Boston Celtics,New Orleans Pelicans,0.7061861089255976
Indiana Pacers,Utah Jazz,0.5015585170672873
Houston Rockets,Washington Wizards,0.7006832082579886
Denver Nuggets,Los Angeles Lakers,0.7446279937299229
Detroit Pistons,New York Knicks,0.6512278855176615
Toronto Raptors,Memphis Grizzlies,0.8299169919629081
Miami Heat,Atlanta Hawks,0.7319277484536164
Indiana Pacers,Phoenix Suns,0.729697452358889
Utah Jazz,Brooklyn Nets,0.8604182832255612
Charlotte Hornets,Atlanta Hawks,0.7986961042085636
Houston Rockets,Dallas Mavericks,0.8667312826082185
Los Angeles Clippers,Phoenix Suns,0.7488015246924141
Milwaukee Bucks,Chicago Bulls,0.7250524566148531
Minnesota Timberwolves,San Antonio Spurs,0.684259836599713
New Orleans Pelicans,Washington Wizards,0.617247894682546
Cleveland Cavaliers,Oklahoma City Thunder,0.5541253918171021
Philadelphia 76ers,New York Knicks,0.7176147132235963
Portland Trail Blazers,Orlando Magic,0.7417524568319048
Indiana Pacers,Los Angeles Lakers,0.6408852831402363
Sacramento Kings,Los Angeles Clippers,0.5197123014087455
Toronto Raptors,Golden State Warriors,0.5774490441724183
Boston Celtics,Cleveland Cavaliers,0.6204982554780869
Brooklyn Nets,Memphis Grizzlies,0.6058583705630691
Utah Jazz,Charlotte Hornets,0.6469117960980919
Detroit Pistons,Chicago Bulls,0.7712087591625076
Los Angeles Lakers,Dallas Mavericks,0.5094510376514472
New Orleans Pelicans,Miami Heat,0.5893654949506826
Oklahoma City Thunder,Atlanta Hawks,0.7966232663255008
Philadelphia 76ers,Washington Wizards,0.620060878221071
Orlando Magic,Phoenix Suns,0.5200803107881047
Portland Trail Blazers,Denver Nuggets,0.6487786261468459
Houston Rockets,San Antonio Spurs,0.5962508740114798
Cleveland Cavaliers,Toronto Raptors,0.5670215374996526
Golden State Warriors,Detroit Pistons,0.7107757389470193
Houston Rockets,Chicago Bulls,0.9343057603874091
Boston Celtics,Minnesota Timberwolves,0.578866490846336
Milwaukee Bucks,New York Knicks,0.6937115437607979
Indiana Pacers,Sacramento Kings,0.6949851656722953
Washington Wizards,Brooklyn Nets,0.7113889941598402
Charlotte Hornets,New Orleans Pelicans,0.5030991073482203
Los Angeles Clippers,Dallas Mavericks,0.546162186869904
Los Angeles Lakers,Phoenix Suns,0.617142802988651
Utah Jazz,Miami Heat,0.726955730299905
Philadelphia 76ers,Memphis Grizzlies,0.839671781226053
San Antonio Spurs,Portland Trail Blazers,0.6117654802235402
Golden State Warriors,Atlanta Hawks,0.8398455732795069
Cleveland Cavaliers,Brooklyn Nets,0.8049911829229627
Oklahoma City Thunder,Detroit Pistons,0.611126962376741
Houston Rockets,Minnesota Timberwolves,0.5871168886384994
New Orleans Pelicans,Los Angeles Clippers,0.7338836913052114
Washington Wizards,New York Knicks,0.6551904557328989
Toronto Raptors,Denver Nuggets,0.8173457384168171
Portland Trail Blazers,Dallas Mavericks,0.7800324818766896
Indiana Pacers,Chicago Bulls,0.8739330213823112
Miami Heat,Orlando Magic,0.6570845403526298
Phoenix Suns,Sacramento Kings,0.5475419993729861
Utah Jazz,San Antonio Spurs,0.5240755689560459
Washington Wizards,Atlanta Hawks,0.6402243034412941
Oklahoma City Thunder,Brooklyn Nets,0.7973291535837457
Golden State Warriors,Cleveland Cavaliers,0.5767854200861284
San Antonio Spurs,Los Angeles Lakers,0.6169441494408079
Los Angeles Clippers,Memphis Grizzlies,0.6334540913504298
Milwaukee Bucks,Detroit Pistons,0.546665689498453
Minnesota Timberwolves,Charlotte Hornets,0.8393161100820923
New Orleans Pelicans,Dallas Mavericks,0.6745888985842746
Denver Nuggets,Orlando Magic,0.5671069227652852
Toronto Raptors,Philadelphia 76ers,0.6742324126433583
Boston Celtics,New York Knicks,0.8342784846639242
Portland Trail Blazers,Phoenix Suns,0.7683504534974365
Houston Rockets,Utah Jazz,0.736741512385892
Toronto Raptors,Brooklyn Nets,0.7751262616747872
Oklahoma City Thunder,Chicago Bulls,0.8134979882605662
Charlotte Hornets,Denver Nuggets,0.6416760654012478
Cleveland Cavaliers,Sacramento Kings,0.8304889909867602
Philadelphia 76ers,Detroit Pistons,0.6187094450511446
